worldvolume_or_shell_dimension,radius_definition,normal_shift_definition,radius,delta_r,geometric_driver_d_log_1_plus_deltaR_over_R,required_radial_driver,relative_driver_error_pct,lambda_equivalent,max_flavor_error_pct,rms_flavor_error_pct,claim_status
3,action_peak,field_fraction_u_as_coordinate_shift_unproven,5.860202508437851,0.13407601935807295,0.06786382450875196,0.0670851131989154,1.1607810924125328,1.0842969182229016,0.6235685223915044,0.35809601858009893,diagnostic only: field-space displacement is not a derived coordinate shift
3,action_peak,soft_correlation_length_u_over_m,5.860202508437851,0.12718919115518804,0.06441514223127694,0.0670851131989154,-3.9799753482142597,1.0291954618510484,0.5922459519143386,0.3638653667969418,bounce-derived scale mapping but not a symmetry derivation
3,action_peak,level_set_shift_sigma_over_speed_at_mix,5.860202508437851,0.6103341541419737,0.2972246718904471,0.0670851131989154,343.05607864019,4.748918854537332,9.18732444794439,5.032405847845206,bounce-derived scale mapping but not a symmetry derivation
3,gradient_peak,field_fraction_u_as_coordinate_shift_unproven,5.207425309387891,0.13407601935807295,0.07626363001496453,0.0670851131989154,13.68189808196898,1.2185051402025435,0.758241331913645,0.40902169079522194,diagnostic only: field-space displacement is not a derived coordinate shift
3,gradient_peak,soft_correlation_length_u_over_m,5.207425309387891,0.12718919115518804,0.07239321725348469,0.0670851131989154,7.9124917607728,1.1566654684790325,0.6962055493174413,0.3750222187110405,bounce-derived scale mapping but not a symmetry derivation
3,gradient_peak,level_set_shift_sigma_over_speed_at_mix,5.207425309387891,0.6103341541419737,0.33248899368843926,0.0670851131989154,395.62261705152014,5.312355939399127,10.573950052186865,5.785182705484295,bounce-derived scale mapping but not a symmetry derivation
3,mixing_peak,field_fraction_u_as_coordinate_shift_unproven,5.913579732488854,0.13407601935807295,0.06725808651514734,0.0670851131989154,0.25784158061872287,1.074618715668442,0.6138512280324693,0.357926750315386,diagnostic only: field-space displacement is not a derived coordinate shift
3,mixing_peak,soft_correlation_length_u_over_m,5.913579732488854,0.12718919115518804,0.06383986000532693,0.0670851131989154,-4.837516162439648,1.0200038675189966,0.6047793004925639,0.3663875846136559,bounce-derived scale mapping but not a symmetry derivation
3,mixing_peak,level_set_shift_sigma_over_speed_at_mix,5.913579732488854,0.6103341541419737,0.29466938834838424,0.0670851131989154,339.24706137806487,4.708091711506406,9.08635789871285,4.977727273942275,bounce-derived scale mapping but not a symmetry derivation
4,action_peak,field_fraction_u_as_coordinate_shift_unproven,5.860202508437851,0.13407601935807295,0.09048509934500261,0.0670851131989154,34.881041456550044,1.4457292242972022,0.98592253917692,0.6259500681055088,diagnostic only: field-space displacement is not a derived coordinate shift
4,action_peak,soft_correlation_length_u_over_m,5.860202508437851,0.12718919115518804,0.08588685630836924,0.0670851131989154,28.026699535714307,1.3722606158013977,0.9123514288279067,0.5454385030449311,bounce-derived scale mapping but not a symmetry derivation
4,action_peak,level_set_shift_sigma_over_speed_at_mix,5.860202508437851,0.6103341541419737,0.39629956252059617,0.0670851131989154,490.74143818692005,6.331891806049777,13.050975461387537,7.138620184804623,bounce-derived scale mapping but not a symmetry derivation
4,gradient_peak,field_fraction_u_as_coordinate_shift_unproven,5.207425309387891,0.13407601935807295,0.1016848400199527,0.0670851131989154,51.57586410929198,1.6246735202700582,1.2694176104701471,0.8414215770690653,diagnostic only: field-space displacement is not a derived coordinate shift
4,gradient_peak,soft_correlation_length_u_over_m,5.207425309387891,0.12718919115518804,0.09652428967131292,0.0670851131989154,43.883322347697074,1.5422206246387102,1.0824828211554394,0.7396623039964416,bounce-derived scale mapping but not a symmetry derivation
4,gradient_peak,level_set_shift_sigma_over_speed_at_mix,5.207425309387891,0.6103341541419737,0.44331865825125233,0.0670851131989154,560.8301560686936,7.083141252532169,14.849783282403873,8.128818261666597,bounce-derived scale mapping but not a symmetry derivation
4,mixing_peak,field_fraction_u_as_coordinate_shift_unproven,5.913579732488854,0.13407601935807295,0.08967744868686311,0.0670851131989154,33.677122107491606,1.4328249542245892,0.9730033986987463,0.6113504138176121,diagnostic only: field-space displacement is not a derived coordinate shift
4,mixing_peak,soft_correlation_length_u_over_m,5.913579732488854,0.12718919115518804,0.0851198133404359,0.0670851131989154,26.883311783413788,1.3600051566919953,0.9000746588345265,0.5327174427178385,bounce-derived scale mapping but not a symmetry derivation
4,mixing_peak,level_set_shift_sigma_over_speed_at_mix,5.913579732488854,0.6103341541419737,0.3928925177978457,0.0670851131989154,485.66274850408655,6.277455615341876,12.91976242540297,7.066638333183524,bounce-derived scale mapping but not a symmetry derivation
